Title, Year, Rating, Cast
Witness for the Prosecution,1957,8.4,Billy Wilder; Tyrone Power; Marlene Dietrich; Charles Laughton; Elsa Lanchester;
Paths of Glory,1957,8.4,Stanley Kubrick; Kirk Douglas; Ralph Meeker; Adolphe Menjou; George Macready;
Sunset Blvd.,1950,8.4,Billy Wilder; William Holden; Gloria Swanson; Erich von Stroheim; Nancy Olson;
Baahubali 2: The Conclusion,2017,8.3,S.S. Rajamouli; Prabhas; Rana Daggubati; Anushka Shetty; Tamannaah Bhatia;
Drishyam,2015,8.3,Nishikant Kamat; Ajay Devgn; Shriya Saran; Tabu; Rajat Kapoor;
Jagten,2012,8.3,Thomas Vinterberg; Mads Mikkelsen; Thomas Bo Larsen; Annika Wedderkopp; Lasse Fogelstrøm;
Jodaeiye Nader az Simin,2011,8.3,Asghar Farhadi; Payman Maadi; Leila Hatami; Sareh Bayat; Shahab Hosseini;
Incendies,2010,8.3,Denis Villeneuve; Lubna Azabal; Mélissa Désormeaux-Poulin; Maxim Gaudette; Mustafa Kamel;
Toy Story 3,2010,8.3,Lee Unkrich; Tom Hanks; Tim Allen; Joan Cusack; Ned Beatty;
Swades: We| the People,2004,8.3,Ashutosh Gowariker; Shah Rukh Khan; Gayatri Joshi; Kishori Ballal; Smit Sheth;
Inglourious Basterds,2009,8.3,Quentin Tarantino; Brad Pitt; Diane Kruger; Eli Roth; Mélanie Laurent;
Eternal Sunshine of the Spotless Mind,2004,8.3,Michel Gondry; Jim Carrey; Kate Winslet; Tom Wilkinson; Gerry Robert Byrne;
Amélie,2001,8.3,Jean-Pierre Jeunet; Audrey Tautou; Mathieu Kassovitz; Rufus; Lorella Cravotta;
Snatch,2000,8.3,Guy Ritchie; Jason Statham; Brad Pitt; Benicio Del Toro; Dennis Farina;
Requiem for a Dream,2000,8.3,Darren Aronofsky; Ellen Burstyn; Jared Leto; Jennifer Connelly; Marlon Wayans;
L.A. Confidential,1997,8.3,Curtis Hanson; Kevin Spacey; Russell Crowe; Guy Pearce; Kim Basinger;
Good Will Hunting,1997,8.3,Gus Van Sant; Robin Williams; Matt Damon; Ben Affleck; Stellan Skarsgård;
Bacheha-Ye aseman,1997,8.3,Majid Majidi; Mohammad Amir Naji; Amir Farrokh Hashemian; Bahare Seddiqi; Nafise Jafar-Mohammadi;
Eskiya,1996,8.3,Yavuz Turgul; Sener Sen; Ugur Yücel; Sermin Hürmeriç; Yesim Salkim;
Toy Story,1995,8.3,John Lasseter; Tom Hanks; Tim Allen; Don Rickles; Jim Varney;
Title, Year, Rating, Cast
Reservoir Dogs,1992,8.3,Quentin Tarantino; Harvey Keitel; Tim Roth; Michael Madsen; Chris Penn;
Full Metal Jacket,1987,8.3,Stanley Kubrick; Matthew Modine; R. Lee Ermey; Vincent D'Onofrio; Adam Baldwin;
Amadeus,1984,8.3,Milos Forman; F. Murray Abraham; Tom Hulce; Elizabeth Berridge; Roy Dotrice;
Scarface,1983,8.3,Brian De Palma; Al Pacino; Michelle Pfeiffer; Steven Bauer; Mary Elizabeth Mastrantonio;
